date,symbol,side,qty,entry,exit,pnl,strategy,notes
2026-02-02T13:31:04.000Z,INTC,LONG,800,32,32.36,288,Trend Following,
2026-02-02T13:59:11.000Z,ORCL,SHORT,56,165.43,165.93,-28,Breakout,Pre-market gap up clean breakout
2026-02-02T14:04:21.000Z,IWM,SHORT,193,240.38,242.39,-387.93,Mean Reversion,VWAP reversion
2026-02-02T14:13:31.000Z,QQQ,LONG,79,549.29,545.22,-321.53,Mean Reversion,VWAP reversion
2026-02-02T14:23:14.000Z,COIN,SHORT,141,258.71,264.31,-789.6,Breakout,
2026-02-02T14:27:32.000Z,MARA,LONG,874,21.94,21.62,-279.68,Earnings,Earnings miss reversal
2026-02-02T14:38:08.000Z,UBER,SHORT,122,78.08,76.43,201.3,Trend Following,
2026-02-02T14:54:35.000Z,AVGO,LONG,35,194.47,197.84,117.95,Scalp,Opening drive scalp
2026-02-02T15:00:44.000Z,COIN,LONG,129,259.66,254.76,-632.1,Mean Reversion,Squeezed out early
2026-02-02T15:05:52.000Z,UBER,LONG,359,78.01,78.5,175.91,Breakout,
2026-02-02T15:08:58.000Z,UNH,LONG,10,510.15,516.66,65.1,Mean Reversion,
2026-02-02T15:37:17.000Z,SHOP,LONG,277,95.09,96.25,321.32,Earnings,
2026-02-02T16:05:05.000Z,DIS,LONG,373,102.28,101.08,-447.6,Scalp,
2026-02-02T16:19:58.000Z,AAPL,SHORT,106,240.9,239.91,104.94,Scalp,Opening drive scalp
2026-02-02T16:28:43.000Z,UNH,SHORT,31,511.83,518.19,-197.16,Breakout,Bull flag continuation
2026-02-02T16:45:26.000Z,MARA,LONG,922,22.03,21.45,-534.76,Trend Following,Trend continuation
2026-02-02T18:05:37.000Z,JNJ,SHORT,160,157.71,156.78,148.8,Earnings,Post-earnings IV crush play
2026-02-02T18:17:46.000Z,SPY,LONG,32,609.86,607.98,-60.16,Scalp,Quick scalp
2026-02-02T18:24:56.000Z,UNH,SHORT,67,507.93,511.53,-241.2,Breakout,Cup & handle breakout
2026-02-02T18:38:48.000Z,MSFT,LONG,52,469.6,476.04,334.88,Scalp,Power-hour scalp
2026-02-02T18:43:16.000Z,AMD,LONG,180,150.49,148.35,-385.2,Scalp,Opening drive scalp
2026-02-02T19:23:18.000Z,NFLX,SHORT,77,703.47,708.06,-353.43,Scalp,Counter-trend fade scalp
2026-02-02T19:32:36.000Z,META,LONG,29,643.04,634.4,-250.56,Mean Reversion,
2026-02-03T13:44:42.000Z,AMZN,SHORT,161,210.11,207.23,463.68,Earnings,Earnings drift continuation
2026-02-03T13:56:24.000Z,AAPL,LONG,64,241.18,239.94,-79.36,Breakout,
2026-02-03T14:19:58.000Z,UBER,LONG,251,77.42,78.82,351.4,Mean Reversion,Fade gap up
2026-02-03T14:21:16.000Z,JNJ,LONG,30,158.43,158.05,-11.4,Mean Reversion,
2026-02-03T14:41:02.000Z,UNH,SHORT,60,507.66,503.02,278.4,Earnings,Earnings miss reversal
2026-02-03T14:41:37.000Z,IWM,SHORT,198,240.33,242.72,-473.22,Trend Following,VWAP reclaim long
2026-02-03T14:43:31.000Z,UNH,LONG,41,508.52,514.28,236.16,Earnings,Post-earnings IV crush play
2026-02-03T15:11:22.000Z,XOM,LONG,311,117.95,116.63,-410.52,Trend Following,20EMA trend long
2026-02-03T15:28:23.000Z,QQQ,LONG,33,547.22,544.44,-91.74,Trend Following,Tech rotation long
2026-02-03T16:02:49.000Z,BA,LONG,31,194.82,199.47,144.15,Scalp,Power-hour scalp
2026-02-03T16:04:02.000Z,XOM,LONG,363,117.94,116.75,-431.97,Mean Reversion,Oversold bounce
2026-02-03T16:40:26.000Z,IWM,LONG,194,240.17,238.31,-360.84,Scalp,Quick scalp
2026-02-03T16:50:57.000Z,MARA,SHORT,416,21.79,20.92,361.92,Trend Following,Tech rotation long
2026-02-03T17:29:47.000Z,MSFT,SHORT,47,472.67,476.17,-164.5,Breakout,Cup & handle breakout
2026-02-03T17:32:57.000Z,BAC,SHORT,711,47.32,46.68,455.04,Mean Reversion,
2026-02-03T17:39:10.000Z,PLTR,LONG,415,27.86,27.56,-124.5,Trend Following,Tech rotation long
2026-02-03T17:45:53.000Z,MARA,LONG,260,21.84,22.98,296.4,Trend Following,VWAP reclaim long
2026-02-03T17:48:40.000Z,BAC,LONG,691,47.14,47.49,241.85,Mean Reversion,Squeezed out early
2026-02-03T18:21:06.000Z,SHOP,LONG,278,94.49,93.65,-233.52,Mean Reversion,Fade gap up
2026-02-03T18:57:00.000Z,CRM,SHORT,41,293.64,294.97,-54.53,Earnings,
2026-02-04T13:39:44.000Z,NVDA,LONG,49,200.21,197.06,-154.35,Mean Reversion,Fade gap up
2026-02-04T13:54:02.000Z,BAC,LONG,342,47.1,46.79,-106.02,Trend Following,
2026-02-04T13:56:23.000Z,SPY,LONG,92,605.38,609.34,364.32,Scalp,Counter-trend fade scalp
2026-02-04T14:26:05.000Z,META,LONG,85,643.38,654.23,922.25,Trend Following,Trend continuation
2026-02-04T14:46:20.000Z,IWM,SHORT,107,242.69,244.6,-204.37,Earnings,Earnings beat
2026-02-04T15:16:39.000Z,META,LONG,45,646.03,654.33,373.5,Trend Following,
2026-02-04T15:29:13.000Z,JNJ,LONG,41,158,158.8,32.8,Breakout,
2026-02-04T15:34:01.000Z,AMD,SHORT,365,149.94,146.04,1423.5,Scalp,Power-hour scalp
2026-02-04T15:58:57.000Z,BAC,SHORT,263,47.04,46.79,65.75,Mean Reversion,Fade gap up
2026-02-04T16:00:50.000Z,JNJ,SHORT,147,157.63,156.63,147,Trend Following,Stopped below trend line
2026-02-04T16:15:51.000Z,JPM,LONG,159,247.45,251,564.45,Trend Following,VWAP reclaim long
2026-02-04T16:23:10.000Z,AMZN,SHORT,53,208.94,206.55,126.67,Breakout,Breakout retest hold
2026-02-04T16:40:21.000Z,TSLA,LONG,49,319.46,328.8,457.66,Earnings,Post-earnings IV crush play
2026-02-04T17:00:27.000Z,AAPL,LONG,40,241.6,240.19,-56.4,Earnings,Earnings drift continuation
2026-02-04T17:19:03.000Z,SPY,LONG,95,606.2,610.83,439.85,Earnings,
2026-02-04T17:49:22.000Z,BAC,LONG,306,47.04,47.5,140.76,Mean Reversion,Oversold bounce
2026-02-04T17:52:07.000Z,AAPL,LONG,152,241.94,240.56,-209.76,Earnings,
2026-02-04T17:53:02.000Z,MU,LONG,230,110.59,113.02,558.9,Trend Following,Tech rotation long
2026-02-04T18:45:49.000Z,COIN,SHORT,156,258.93,250.75,1276.08,Scalp,Counter-trend fade scalp
2026-02-04T18:53:39.000Z,TSLA,LONG,165,320.54,316.98,-587.4,Trend Following,Stopped below trend line
2026-02-04T19:46:18.000Z,COIN,LONG,197,257.13,252.83,-847.1,Mean Reversion,Squeezed out early
2026-02-05T13:45:28.000Z,MARA,LONG,262,21.9,22.32,110.04,Scalp,
2026-02-05T13:50:21.000Z,DIS,SHORT,234,103.11,101.14,460.98,Scalp,Counter-trend fade scalp
2026-02-05T14:19:00.000Z,AVGO,LONG,100,194.65,196,135,Scalp,Quick scalp
2026-02-05T14:27:23.000Z,AVGO,LONG,52,194.35,196.15,93.6,Earnings,Post-earnings IV crush play
2026-02-05T14:40:53.000Z,TSLA,LONG,31,319.99,330.17,315.58,Earnings,Earnings miss reversal
2026-02-05T14:56:33.000Z,NFLX,LONG,48,693.67,710,783.84,Earnings,
2026-02-05T15:33:01.000Z,GS,LONG,84,603.66,610.25,553.56,Mean Reversion,Topping pattern fade
2026-02-05T15:53:12.000Z,AAPL,LONG,35,242.96,244.28,46.2,Earnings,Post-earnings IV crush play
2026-02-05T16:18:41.000Z,AVGO,SHORT,44,194.39,195.87,-65.12,Scalp,
2026-02-05T17:21:51.000Z,AAPL,LONG,60,243.24,241.4,-110.4,Trend Following,
2026-02-05T17:22:47.000Z,GS,LONG,45,602.21,611.7,427.05,Earnings,Post-earnings IV crush play
2026-02-05T18:12:57.000Z,CRM,SHORT,176,297.63,293.09,799.04,Mean Reversion,Mean reversion short at resistance
2026-02-05T18:16:51.000Z,BA,LONG,58,195.76,199.64,225.04,Breakout,ATH breakout
2026-02-05T18:29:30.000Z,META,SHORT,59,637.71,648.4,-630.71,Trend Following,
2026-02-05T19:21:50.000Z,JNJ,LONG,127,157.16,156.81,-44.45,Mean Reversion,
2026-02-05T19:27:13.000Z,NFLX,SHORT,53,697.39,706.23,-468.52,Trend Following,
2026-02-05T19:37:43.000Z,UBER,LONG,314,77.62,76.83,-248.06,Breakout,Pre-market gap up clean breakout
2026-02-05T19:45:50.000Z,BA,LONG,190,196.79,199.09,437,Trend Following,
2026-02-05T19:51:17.000Z,JNJ,SHORT,138,156.05,156.97,-126.96,Scalp,Power-hour scalp
2026-02-06T14:14:10.000Z,NVDA,LONG,39,198.19,199.74,60.45,Scalp,Power-hour scalp
2026-02-06T14:28:55.000Z,SHOP,LONG,197,95.35,93.63,-338.84,Mean Reversion,Topping pattern fade
2026-02-06T14:43:41.000Z,UNH,LONG,86,507.42,504.62,-240.8,Mean Reversion,
2026-02-06T14:48:16.000Z,AAPL,SHORT,155,242.43,244.82,-370.45,Scalp,Power-hour scalp
2026-02-06T14:58:23.000Z,PLTR,LONG,481,27.45,28.19,355.94,Breakout,Range breakout on volume
2026-02-06T15:49:10.000Z,UNH,LONG,77,509.53,507.55,-152.46,Mean Reversion,
2026-02-06T16:07:55.000Z,INTC,SHORT,465,31.89,32.28,-181.35,Mean Reversion,VWAP reversion
2026-02-06T16:23:21.000Z,JPM,SHORT,142,248.66,250.05,-197.38,Scalp,Power-hour scalp
2026-02-06T16:56:20.000Z,NFLX,LONG,25,695.58,711.79,405.25,Breakout,Pre-market gap up clean breakout
2026-02-06T17:05:46.000Z,NFLX,LONG,61,695.82,700.86,307.44,Scalp,Opening drive scalp
2026-02-06T17:09:16.000Z,NFLX,SHORT,91,696.15,687.03,829.92,Trend Following,20EMA trend long
2026-02-06T18:12:30.000Z,COIN,SHORT,69,258.98,263.36,-302.22,Scalp,Counter-trend fade scalp
2026-02-06T18:21:32.000Z,NVDA,LONG,191,199.2,202.3,592.1,Breakout,
2026-02-06T18:27:06.000Z,INTC,LONG,642,31.65,31.92,173.34,Earnings,Earnings miss reversal
2026-02-06T19:00:46.000Z,GOOGL,LONG,137,193.28,192.24,-142.48,Breakout,Pre-market gap up clean breakout
2026-02-06T19:07:19.000Z,NVDA,SHORT,145,198.79,199.99,-174,Trend Following,Index momentum continuation
2026-02-06T19:22:15.000Z,TSLA,LONG,52,320.22,329.4,477.36,Trend Following,Index momentum continuation
2026-02-06T19:50:54.000Z,MARA,LONG,978,21.85,21.02,-811.74,Mean Reversion,
2026-02-06T19:54:46.000Z,JNJ,SHORT,152,156.33,157.21,-133.76,Scalp,Opening drive scalp
2026-02-09T13:53:18.000Z,TSLA,LONG,104,318.87,321.72,296.4,Earnings,
2026-02-09T13:57:10.000Z,IWM,SHORT,156,242.82,239.63,497.64,Earnings,Earnings miss reversal
2026-02-09T13:57:24.000Z,AVGO,SHORT,59,195.77,197.73,-115.64,Mean Reversion,
2026-02-09T14:07:14.000Z,IWM,LONG,168,242.99,245.31,389.76,Earnings,
2026-02-09T15:00:37.000Z,JNJ,SHORT,164,157.07,156.66,67.24,Earnings,Earnings beat
2026-02-09T15:06:41.000Z,PLTR,LONG,276,27.52,27.94,115.92,Trend Following,
2026-02-09T16:55:35.000Z,AMZN,LONG,145,207.65,205.09,-371.2,Scalp,Opening drive scalp
2026-02-09T17:04:57.000Z,JPM,LONG,67,248.38,246.48,-127.3,Trend Following,
2026-02-09T17:23:26.000Z,GS,LONG,89,605.58,601.67,-347.99,Mean Reversion,Topping pattern fade
2026-02-09T17:24:02.000Z,PLTR,LONG,977,27.57,27.33,-234.48,Breakout,Breakout retest hold
2026-02-09T17:24:54.000Z,AMD,SHORT,144,149.22,150.77,-223.2,Trend Following,
2026-02-09T17:26:38.000Z,MARA,LONG,626,22.07,23.01,588.44,Earnings,Earnings drift continuation
2026-02-09T17:38:10.000Z,AMD,LONG,364,148.05,151.77,1354.08,Mean Reversion,Mean reversion short at resistance
2026-02-09T17:47:20.000Z,IWM,LONG,33,243.81,243.22,-19.47,Breakout,Pre-market gap up clean breakout
2026-02-09T17:54:58.000Z,COIN,LONG,81,259.88,269.37,768.69,Trend Following,Index momentum continuation
2026-02-09T18:29:25.000Z,SHOP,LONG,180,95.2,93.86,-241.2,Scalp,Counter-trend fade scalp
2026-02-09T19:36:45.000Z,UNH,SHORT,41,511.91,509.2,111.11,Earnings,Earnings drift continuation
2026-02-09T19:43:16.000Z,UBER,LONG,215,78.11,79.62,324.65,Mean Reversion,Oversold bounce
2026-02-10T13:31:07.000Z,UBER,LONG,317,77.53,76.92,-193.37,Scalp,Opening drive scalp
2026-02-10T13:37:30.000Z,NVDA,SHORT,199,201.06,204.27,-638.79,Scalp,Counter-trend fade scalp
2026-02-10T13:50:29.000Z,JPM,LONG,183,246.18,244.11,-378.81,Mean Reversion,
2026-02-10T13:59:42.000Z,NVDA,LONG,111,200.9,203.78,319.68,Breakout,Breakout retest hold
2026-02-10T14:20:29.000Z,META,SHORT,45,637.67,645.11,-334.8,Earnings,
2026-02-10T14:40:07.000Z,GOOGL,SHORT,84,193.17,194.42,-105,Earnings,Earnings miss reversal
2026-02-10T15:58:39.000Z,IWM,SHORT,96,244.07,242.13,186.24,Mean Reversion,Topping pattern fade
2026-02-10T16:05:40.000Z,MU,SHORT,122,109.67,111.82,-262.3,Scalp,Counter-trend fade scalp
2026-02-10T16:20:51.000Z,GS,LONG,49,606.11,616.01,485.1,Trend Following,20EMA trend long
2026-02-10T16:40:52.000Z,UNH,SHORT,99,506.59,500.08,644.49,Trend Following,
2026-02-10T16:48:08.000Z,UBER,SHORT,146,78.14,79.43,-188.34,Mean Reversion,Oversold bounce
2026-02-10T17:22:11.000Z,COIN,LONG,51,258.08,264.35,319.77,Scalp,Quick scalp
2026-02-10T18:07:11.000Z,BA,SHORT,126,196.66,194.92,219.24,Scalp,Power-hour scalp
2026-02-10T18:35:25.000Z,PLTR,SHORT,843,27.48,26.4,910.44,Trend Following,
2026-02-10T18:39:08.000Z,JNJ,SHORT,159,157.17,157.45,-44.52,Breakout,
2026-02-10T18:39:48.000Z,NFLX,LONG,81,690.78,702.98,988.2,Breakout,ATH breakout
2026-02-10T18:49:15.000Z,PLTR,LONG,654,27.66,27.25,-268.14,Mean Reversion,Mean reversion short at resistance
2026-02-10T19:10:33.000Z,AMZN,SHORT,159,207.47,209.31,-292.56,Earnings,Earnings drift continuation
2026-02-10T19:29:40.000Z,SHOP,LONG,170,95.28,93.99,-219.3,Earnings,Earnings miss reversal
2026-02-10T19:38:51.000Z,PLTR,SHORT,690,27.67,28.22,-379.5,Trend Following,20EMA trend long
2026-02-10T19:46:48.000Z,AMZN,SHORT,150,207.55,208.75,-180,Breakout,
2026-02-10T19:52:16.000Z,MARA,SHORT,790,22.11,22.97,-679.4,Earnings,
2026-02-11T14:45:14.000Z,PLTR,LONG,770,27.45,26.94,-392.7,Breakout,
2026-02-11T14:57:34.000Z,UNH,LONG,99,505.73,512.29,649.44,Earnings,Earnings miss reversal
2026-02-11T15:07:09.000Z,SHOP,SHORT,206,95.29,92.54,566.5,Breakout,Pre-market gap up clean breakout
2026-02-11T15:14:22.000Z,TSLA,LONG,50,316.84,320.13,164.5,Scalp,Counter-trend fade scalp
2026-02-11T15:15:38.000Z,GS,LONG,90,604.95,600.97,-358.2,Earnings,Post-earnings IV crush play
2026-02-11T15:17:09.000Z,QQQ,LONG,52,549.32,551.18,96.72,Mean Reversion,Topping pattern fade
2026-02-11T15:30:28.000Z,BAC,LONG,885,47.76,48,212.4,Trend Following,Tech rotation long
2026-02-11T15:45:26.000Z,AMZN,LONG,181,207.96,205.33,-476.03,Trend Following,20EMA trend long
2026-02-11T15:48:31.000Z,JNJ,SHORT,179,158.37,159.28,-162.89,Mean Reversion,Squeezed out early
2026-02-11T15:50:50.000Z,AVGO,LONG,70,193.89,191.04,-199.5,Earnings,Earnings drift continuation
2026-02-11T16:14:55.000Z,CRM,SHORT,85,296.33,297.68,-114.75,Breakout,ATH breakout
2026-02-11T18:20:27.000Z,NFLX,SHORT,16,694.35,700.72,-101.92,Scalp,Opening drive scalp
2026-02-11T18:25:48.000Z,SPY,LONG,68,605.25,604.19,-72.08,Scalp,
2026-02-11T19:08:09.000Z,AMD,LONG,186,147.6,145.33,-422.22,Earnings,Earnings miss reversal
2026-02-11T19:08:16.000Z,INTC,SHORT,528,31.51,31.75,-126.72,Breakout,"Failed breakout, stopped"
2026-02-11T19:21:22.000Z,MARA,LONG,419,21.86,22.68,343.58,Trend Following,VWAP reclaim long
2026-02-11T19:40:26.000Z,JNJ,SHORT,177,158.63,157.75,155.76,Mean Reversion,Fade gap up
2026-02-11T19:53:27.000Z,COIN,SHORT,74,256.71,251.12,413.66,Earnings,Earnings beat
2026-02-12T13:56:56.000Z,ORCL,LONG,109,167.8,166.48,-143.88,Trend Following,
2026-02-12T14:01:04.000Z,META,SHORT,11,632.28,636.54,-46.86,Scalp,
2026-02-12T14:35:23.000Z,MARA,SHORT,532,21.89,21.53,191.52,Mean Reversion,Mean reversion short at resistance
2026-02-12T14:42:58.000Z,JNJ,LONG,30,159.1,159.77,20.1,Trend Following,Trend continuation
2026-02-12T15:01:40.000Z,JNJ,LONG,106,157.54,156.69,-90.1,Scalp,
2026-02-12T15:18:44.000Z,GS,LONG,31,611.62,606.51,-158.41,Breakout,"Failed breakout, stopped"
2026-02-12T15:53:06.000Z,MARA,SHORT,529,22.08,20.82,666.54,Scalp,Opening drive scalp
2026-02-12T15:59:26.000Z,AMD,LONG,138,147.41,151.24,528.54,Scalp,Counter-trend fade scalp
2026-02-12T16:08:39.000Z,MSFT,SHORT,71,469.68,471.09,-100.11,Earnings,Post-earnings IV crush play
2026-02-12T16:27:00.000Z,PLTR,LONG,652,27.58,26.87,-462.92,Breakout,
2026-02-12T16:58:20.000Z,META,LONG,66,638.02,634.08,-260.04,Earnings,
2026-02-12T17:39:42.000Z,NFLX,LONG,47,690.14,685.53,-216.67,Scalp,Opening drive scalp
2026-02-12T17:58:20.000Z,BA,SHORT,69,196.7,194.82,129.72,Earnings,Post-earnings IV crush play
2026-02-12T18:00:05.000Z,NFLX,LONG,86,689.49,693.58,351.74,Earnings,Earnings beat
2026-02-12T18:14:24.000Z,COIN,LONG,101,257.04,267.78,1084.74,Earnings,Earnings beat
2026-02-12T18:36:10.000Z,PLTR,SHORT,783,27.7,26.79,712.53,Trend Following,Tech rotation long
2026-02-12T19:15:41.000Z,GOOGL,LONG,78,190.86,188.6,-176.28,Mean Reversion,Topping pattern fade
2026-02-13T13:32:46.000Z,JNJ,LONG,92,159.28,160.13,78.2,Breakout,Cup & handle breakout
2026-02-13T13:48:07.000Z,MSFT,LONG,73,472.02,470.31,-124.83,Scalp,
2026-02-13T14:20:39.000Z,META,LONG,67,630.18,641.88,783.9,Mean Reversion,Squeezed out early
2026-02-13T15:35:58.000Z,IWM,LONG,153,242.44,243.45,154.53,Mean Reversion,Topping pattern fade
2026-02-13T15:44:19.000Z,DIS,SHORT,352,104.1,102.42,591.36,Scalp,Power-hour scalp
2026-02-13T16:02:45.000Z,BAC,LONG,481,47.67,47.46,-101.01,Earnings,Post-earnings IV crush play
2026-02-13T16:21:53.000Z,SHOP,SHORT,197,95.29,93.28,395.97,Breakout,Range breakout on volume
2026-02-13T16:46:39.000Z,COIN,LONG,62,255.58,252.89,-166.78,Breakout,"Failed breakout, stopped"
2026-02-13T17:04:10.000Z,UBER,LONG,171,78.06,79.05,169.29,Trend Following,Stopped below trend line
2026-02-13T17:16:00.000Z,GS,SHORT,25,610.38,604.16,155.5,Scalp,Opening drive scalp
2026-02-13T17:33:26.000Z,AMZN,LONG,82,209.53,210.63,90.2,Trend Following,Stopped below trend line
2026-02-13T17:48:33.000Z,ORCL,SHORT,150,166.12,164.61,226.5,Mean Reversion,VWAP reversion
2026-02-13T17:50:20.000Z,XOM,LONG,160,118.86,119.61,120,Breakout,
2026-02-13T18:30:39.000Z,INTC,SHORT,547,31.85,32.4,-300.85,Trend Following,Trend continuation
2026-02-13T18:41:31.000Z,MSFT,SHORT,91,470.14,464.65,499.59,Scalp,
2026-02-13T18:46:51.000Z,BA,LONG,176,195.13,193.33,-316.8,Mean Reversion,Oversold bounce
2026-02-13T19:49:11.000Z,INTC,LONG,918,31.82,32.07,229.5,Breakout,ATH breakout
2026-02-16T14:14:35.000Z,UNH,SHORT,32,504.39,509.75,-171.52,Earnings,Earnings beat
2026-02-16T14:25:03.000Z,JNJ,SHORT,187,158.83,157.66,218.79,Earnings,Earnings miss reversal
2026-02-16T14:58:14.000Z,BA,LONG,184,195.89,192.02,-712.08,Mean Reversion,
2026-02-16T15:27:40.000Z,BAC,SHORT,317,47.48,48.03,-174.35,Trend Following,20EMA trend long
2026-02-16T15:35:25.000Z,AMZN,SHORT,190,208.86,211.3,-463.6,Mean Reversion,Squeezed out early
2026-02-16T15:36:52.000Z,MARA,SHORT,749,22.1,21.35,561.75,Scalp,Power-hour scalp
2026-02-16T15:45:42.000Z,PLTR,SHORT,408,27.57,26.88,281.52,Breakout,Bull flag continuation
2026-02-16T15:48:10.000Z,NFLX,LONG,52,689.6,684.59,-260.52,Scalp,Opening drive scalp
2026-02-16T16:46:09.000Z,NVDA,SHORT,197,201.42,196.67,935.75,Earnings,Earnings miss reversal
2026-02-16T16:59:59.000Z,AAPL,LONG,182,241.9,240.27,-296.66,Scalp,Power-hour scalp
2026-02-16T17:18:51.000Z,SPY,SHORT,10,605.35,607.95,-26,Scalp,Opening drive scalp
2026-02-16T17:46:49.000Z,MSFT,SHORT,13,472.18,465.86,82.16,Breakout,
2026-02-16T17:49:16.000Z,QQQ,SHORT,15,548.35,545.18,47.55,Scalp,Quick scalp
2026-02-16T17:56:32.000Z,JPM,SHORT,189,246.82,244.87,368.55,Mean Reversion,
2026-02-16T18:09:02.000Z,GS,LONG,32,615.5,619.05,113.6,Scalp,Quick scalp
2026-02-16T18:19:18.000Z,ORCL,SHORT,184,166.74,168.28,-283.36,Scalp,Opening drive scalp
2026-02-16T18:40:49.000Z,PLTR,LONG,788,27.78,28.54,598.88,Mean Reversion,VWAP reversion
2026-02-16T18:43:46.000Z,META,SHORT,86,636.75,645.3,-735.3,Earnings,Earnings drift continuation
2026-02-16T18:46:14.000Z,INTC,LONG,972,31.97,32.5,515.16,Mean Reversion,
2026-02-16T19:03:46.000Z,BA,LONG,109,196.19,200.81,503.58,Breakout,Cup & handle breakout
2026-02-16T19:08:46.000Z,AMD,LONG,159,149.6,148.18,-225.78,Scalp,
2026-02-16T19:21:56.000Z,SHOP,SHORT,370,95.79,94.2,588.3,Earnings,Post-earnings IV crush play
2026-02-16T19:40:27.000Z,PLTR,LONG,544,27.77,28.46,375.36,Breakout,
2026-02-17T13:33:15.000Z,PLTR,LONG,971,27.77,27.4,-359.27,Scalp,Power-hour scalp
2026-02-17T13:54:18.000Z,BAC,LONG,509,47.29,47.95,335.94,Mean Reversion,
2026-02-17T14:12:48.000Z,NVDA,SHORT,105,202.53,200.31,233.1,Scalp,Counter-trend fade scalp
2026-02-17T14:20:52.000Z,AMZN,SHORT,172,208.39,204.32,700.04,Trend Following,Tech rotation long
2026-02-17T14:54:42.000Z,BA,LONG,195,196.5,200.62,803.4,Breakout,ATH breakout
2026-02-17T15:02:46.000Z,GS,LONG,98,620.93,617.48,-338.1,Earnings,Earnings drift continuation
2026-02-17T15:10:53.000Z,AMD,LONG,325,148.8,152.78,1293.5,Earnings,
2026-02-17T15:21:19.000Z,QQQ,LONG,81,552.85,550.69,-174.96,Earnings,Earnings beat
2026-02-17T15:32:19.000Z,UBER,SHORT,234,76.98,75.99,231.66,Scalp,Quick scalp
2026-02-17T15:47:56.000Z,AAPL,LONG,93,241.52,240.04,-137.64,Scalp,Opening drive scalp
2026-02-17T16:25:40.000Z,GOOGL,LONG,192,189.7,192.12,464.64,Scalp,Opening drive scalp
2026-02-17T16:27:36.000Z,MARA,SHORT,546,22.04,21.63,223.86,Mean Reversion,
2026-02-17T16:44:21.000Z,CRM,SHORT,61,297.88,294.84,185.44,Trend Following,VWAP reclaim long
2026-02-17T17:16:02.000Z,AAPL,LONG,42,241.93,240.54,-58.38,Scalp,Quick scalp
2026-02-17T17:25:06.000Z,PLTR,SHORT,979,27.55,28.18,-616.77,Mean Reversion,Squeezed out early
2026-02-17T18:00:54.000Z,XOM,SHORT,148,117.83,118.53,-103.6,Trend Following,Tech rotation long
2026-02-17T18:09:48.000Z,XOM,LONG,310,118.16,119.8,508.4,Earnings,
2026-02-17T18:11:09.000Z,SHOP,SHORT,148,95.62,93.82,266.4,Earnings,
2026-02-17T18:13:48.000Z,BAC,LONG,797,47.44,47.61,135.49,Trend Following,
2026-02-17T18:31:03.000Z,PLTR,LONG,353,27.73,28.58,300.05,Mean Reversion,Fade gap up
2026-02-17T19:12:58.000Z,SPY,SHORT,77,611.65,609.55,161.7,Scalp,
2026-02-18T14:13:08.000Z,NVDA,SHORT,35,201.83,198.95,100.8,Earnings,Post-earnings IV crush play
2026-02-18T14:15:04.000Z,MU,LONG,113,110.67,111.79,126.56,Mean Reversion,Oversold bounce
2026-02-18T14:17:05.000Z,SHOP,LONG,367,95.31,94.73,-212.86,Earnings,Earnings beat
2026-02-18T14:20:48.000Z,AVGO,LONG,36,195.46,197.93,88.92,Scalp,
2026-02-18T14:27:09.000Z,PLTR,SHORT,389,27.49,26.67,318.98,Mean Reversion,Fade gap up
2026-02-18T14:33:47.000Z,JPM,LONG,116,246.84,247.79,110.2,Breakout,Breakout retest hold
2026-02-18T14:45:10.000Z,AVGO,LONG,170,195.74,192.83,-494.7,Scalp,Power-hour scalp
2026-02-18T14:47:47.000Z,AMD,LONG,375,148.97,145.9,-1151.25,Mean Reversion,Fade gap up
2026-02-18T15:00:40.000Z,BA,LONG,107,195.93,197.97,218.28,Mean Reversion,
2026-02-18T15:18:01.000Z,JNJ,LONG,81,158.24,158.95,57.51,Trend Following,Trend continuation
2026-02-18T16:01:39.000Z,IWM,LONG,106,243.38,241.95,-151.58,Scalp,Opening drive scalp
